rank,title,artist,genre
1,Hati-Hati di Jalan,Tulus,pop
2,Angel Baby,Troye Sivan,pop
3,Sisa Rasa,Mahalini,pop
4,Every Summertime,NIKI,r&b
5,Easy On Me,Adele,pop
6,Ghost,Justin Bieber,electronic
7,Tak Ingin Usai,Keisya Levronka,pop
8,Glimpse of Us,Joji,pop
9,Pesan Terakhir,Lyodra,pop
10,Merasa Indah,Tiara Andini,pop
11,As It Was,Harry Styles,pop
12,Bertahan Terluka,Fabio Asher,pop
13,Melawan Restu,Mahalini,pop
14,Runtuh,Feby Putri,pop
15,Rumah Singgah,Fabio Asher,pop
16,STAY,The Kid LAROI,pop
17,It's Only Me (Studio Version),Kaleb J,pop
18,Here's Your Perfect,Jamie Miller,pop
19,Peri Cintaku,Ziva Magnolya,pop
20,Heat Waves,Glass Animals,indie
21,Kisah Sempurna,Mahalini,pop
22,Sang Dewi,Lyodra,pop
23,happier,Olivia Rodrigo,pop
24,Hingga Tua Bersama,Rizky Febian,pop
25,traitor,Olivia Rodrigo,pop
26,Diri,Tulus,pop
27,Until I Found You,Stephen Sanchez,pop
28,Left and Right,Charlie Puth,pop
29,Interaksi,Tulus,pop
30,Tutur Batin,Yura Yunita,pop
31,C.H.R.I.S.Y.E.,Diskoria,pop
32,Happier Than Ever,Billie Eilish,pop
33,Lantas,Juicy Luicy,pop
34,I Love You So,The Walters,pop
35,Janji Setia,Tiara Andini,pop
36,To the Bone,Pamungkas,indie
37,Cold Heart (PNAU Remix),Elton John,pop
38,double take,Dhruv,r&b
39,Pink Venom,BLACKPINK,pop
40,Favorite Girl,Justin Bieber,pop
41,My Universe,Coldplay,pop
42,High School in Jakarta,NIKI,r&b
43,abcdefu,GAYLE,pop
44,Sanctuary,Joji,soul
45,Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,pop
46,I Ain't Worried,OneRepublic,pop
47,Feel My Rhythm,Red Velvet,pop
48,Die For You,The Weeknd,r&b
49,Adu Rayu,Yovie Widianto,pop
50,Now I Know,Kaleb J,pop
51,Terlukis Indah,Rizky Febian,pop
52,Light Switch,Charlie Puth,pop
53,Leave The Door Open,Silk Sonic,soul
54,Save Your Tears (Remix),The Weeknd,pop
55,Kiss Me More (feat. SZA),Doja Cat,pop
56,MONEY,LISA,pop
57,Intentions (feat. Quavo),Justin Bieber,pop
58,Aku Yang Salah,Mahalini,pop
59,All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift,country
60,INDUSTRY BABY,Lil Nas X,hip hop
61,Bertaut,Nadin Amizah,indie
62,You're Gonna Live Forever in Me,John Mayer,rock
63,Belum Siap Kehilangan,Stevan Pasaribu,pop
64,Wish You Were Here,Neck Deep,pop
65,Blue Jeans,GANGGA,indie
66,It's You,Sezairi,soul
67,Reckless,Madison Beer,pop
68,Butter,BTS,pop
69,positions,Ariana Grande,pop
70,Shivers,Ed Sheeran,pop
71,LOVE DIVE,IVE,pop
72,ELEVEN,IVE,pop
73,Perfect,Ed Sheeran,pop
74,Sunroof,Nicky Youre,pop
75,DARARI,TREASURE,pop
76,ONLY,LeeHi,r&b
77,Dynamite,BTS,pop
78,Enchanted,Taylor Swift,country
79,Cinta Dan Rahasia (feat. Glenn Fredly),Yura Yunita,pop
80,Pilihan Yang Terbaik,Ziva Magnolya,pop
81,deja vu,Olivia Rodrigo,pop
82,Permission to Dance,BTS,pop
83,Style,Taylor Swift,pop
84,Bahaya,Arsy Widianto,pop
85,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,pop
86,Thinking Out Loud,Ed Sheeran,pop
87,Asmalibrasi,Soegi Bornean,indie
88,THE SHADE,Rex Orange County,pop
89,good 4 u,Olivia Rodrigo,pop
90,Maafkan Aku #terlanjurmencinta,Tiara Andini,pop
91,"Mesin Waktu (From ""Aku Dan Mesin Waktu"")",Budi Doremi,pop
92,Menjadi Dia,Tiara Andini,pop
93,Christmas Tree,V,pop
94,Dunia Tipu-Tipu,Yura Yunita,pop
95,W.H.U.T,Aisha Retno,pop
96,Akhir Cerita Cinta,Glenn Fredly,pop
97,Sahabat Dulu (From Layangan Putus),Prinsa Mandagie,pop
98,Secret Love Song (feat. Jason Derulo),Little Mix,pop
99,Life Goes On,BTS,pop
100,drivers license,Olivia Rodrigo,pop
