rank;title;artist;genre
1;Sialan;Adrian Khalif;pop
2;BIRDS OF A FEATHER;Billie Eilish;pop
3;penjaga hati;Nadhif Basalamah;malay
4;we can't be friends (wait for your love);Ariana Grande;pop
5;Die With A Smile;Lady Gaga;pop
6;Satu Bulan;Bernadya;pop
7;Cruel Summer;Taylor Swift;pop
8;drunk text;Henry Moodie;pop
9;Tak Segampang Itu;Anggi Marito;pop
10;Gala bunga matahari;Sal Priadi;indie
11;One Of The Girls;The Weeknd;r&b
12;Bawa Dia Kembali;Mahalini;pop
13;Untungnya, Hidup Harus Tetap Berjalan;Bernadya;pop
14;Backburner;NIKI;r&b
15;Take A Chance With Me;NIKI;r&b
16;Mati-Matian;Mahalini;pop
17;End of Beginning;Djo;indie
18;Espresso;Sabrina Carpenter;pop
19;Tanpa Rasa Bersalah;Fabio Asher;pop
20;Bunga Hati;Salma Salsabil;pop
21;Tampar;Juicy Luicy;pop
22;Saturn;SZA;r&b
23;Bersamamu;Jaz;pop
24;Lantas;Juicy Luicy;pop
25;Please Please Please;Sabrina Carpenter;pop
26;Nobody Gets Me;SZA;r&b
27;Tak Dianggap;Lyodra;pop
28;Kata Mereka Ini Berlebihan;Bernadya;pop
29;Bohongi Hati;Mahalini;pop
30;Seven (Explicit Ver.);Jung Kook;pop
31;Sial;Mahalini;pop
32;Snooze;SZA;r&b
33;Kupu - Kupu;Tiara Andini;pop
34;My Love Mine All Mine;Mitski;indie
35;Pesan Terakhir;Lyodra;pop
36;greedy;Tate McRae;pop
37;Lover;Taylor Swift;pop
38;Cincin;Hindia;indie
39;Kill Bill;SZA;r&b
40;Stuck with U;Ariana Grande;pop
41;SHEESH;BABYMONSTER;pop
42;Drama;aespa;pop
43;Water;Tyla;r&b
44;Hati-Hati di Jalan;Tulus;pop
45;All Too Well (10 Minute Version) [Taylor's Version] [From The Vault];Taylor Swift;country
46;Fortnight (feat. Post Malone);Taylor Swift;country
47;Lama-Lama;Bernadya;pop
48;About You;The 1975;pop
49;Niscaya;Bilal Indrajaya;indie
50;Ku Ingin Pisah;Nabila Taqiyyah;pop
51;Aku Yang Jatuh Cinta;Dudy Oris;pop
52;Kini Mereka Tahu;Bernadya;pop
53;Aduh;MALIQ & D'Essentials;jazz
54;august;Taylor Swift;pop
55;Usai;Tiara Andini;pop
56;Apa Mungkin;Bernadya;pop
57;Hilang Tanpa Bilang;Meiska;pop
58;Jiwa Yang Bersedih;Ghea Indrawari;pop
59;Somebody's Pleasure;Aziz Hedra;pop
60;Rumah Ke Rumah;Hindia;indie
61;Sepenuh Hati;Rony Parulian;pop
62;Versace On The Floor;Bruno Mars;r&b
63;Bertaut;Nadin Amizah;indie
64;Trauma;Aan Story;pop
65;Enchanted;Taylor Swift;country
66;intro (end of the world);Ariana Grande;pop
67;Locked Out of Heaven;Bruno Mars;pop
68;Lampu Kuning;Juicy Luicy;pop
69;APT.;ROSÉ;pop
70;Aku Milikmu;Dewa 19;pop
71;Standing Next to You;Jung Kook;pop
72;7 rings;Ariana Grande;pop
73;Siapkah Kau 'Tuk Jatuh Cinta Lagi;HIVI!;pop
74;Tapi Tahukah Kamu?;Dygta;pop
75;One Last Time;Ariana Grande;pop
76;Supernova;aespa;pop
77;Magnetic;ILLIT;pop
78;Armageddon;aespa;pop
79;Oceans & Engines;NIKI;r&b
80;Cinta Dan Rahasia (feat. Glenn Fredly);Yura Yunita;pop
81;Janji Setia;Tiara Andini;pop
82;Bercinta Lewat Kata;Donne Maula;indie
83;vampire;Olivia Rodrigo;pop
84;HAHAHA;Juicy Luicy;pop
85;Sisa Rasa;Mahalini;pop
86;Interaksi;Tulus;pop
87;Rayuan Perempuan Gila;Nadin Amizah;indie
88;Kiss It Better;Rihanna;r&b
89;Tanpa Tergesa;Juicy Luicy;pop
90;Sudden Shower;ECLIPSE;pop
91;thank u, next;Ariana Grande;pop
92;Satu-Satu;Idgitaf;pop
93;New Rules;Dua Lipa;pop
94;Perfect;Ed Sheeran;pop
95;Guilty as Sin?;Taylor Swift;pop
96;traitor;Olivia Rodrigo;pop
97;Terlalu Tinggi;Juicy Luicy;pop
98;Tertawan Hati;Awdella;pop
99;Dan...;Sheila On 7;pop
100;That's What I Like;Bruno Mars;r&b
