title,artist,year,Predicted_Genre,True_Genre,file_path
Jiwa Yang Bersedih,Ghea Indrawari,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/t9VWICGOD90 - GHEA INDRAWARI - JIWA YANG BERSEDIH (OFFICIAL MUSIC VIDEO).mp3
Tanpa Rasa Bersalah,Fabio Asher,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/3ef_LJcM7WE - Fabio Asher - Tanpa Rasa Bersalah (Official Lyric Video ).mp3
Bertaut,Nadin Amizah,2024,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/uEwQtDZjFKs - Nadin Amizah - Bertaut (Official Lyric Video).mp3
I Don't Care,Ed Sheeran,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/E8EK3dsszw0 - Ed Sheeran & Justin Bieber – I Don’t Care (Official Audio).mp3
Mo Bamba,Sheck Wes,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/VWoIpDVkOH0 - Sheck Wes - Mo Bamba.mp3
traitor,Olivia Rodrigo,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/6tsu2oeZJgo - Olivia Rodrigo - traitor (Lyric Video).mp3
Tak Segampang Itu,Anggi Marito,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/7rCDUFh9kzc - Anggi Marito - Tak Segampang Itu (Official Lyric Video).mp3
LOVE DIVE,IVE,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/l-jZOXa7gQY - LOVE DIVE.mp3
Envy Me,Calboy,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/4b8KYKjMmRU - Calboy - Envy Me Prod by @jtk2bz (Official Audio).mp3
Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],SHAUN,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/eNt78mQJavY - SHAUN – Way Back Home (feat. Conor Maynard) [Sam Feldt Edit] (Official Lyric Video).mp3
Castle on the Hill,Ed Sheeran,2017,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/7Qp5vcuMIlk - Ed Sheeran - Castle On The Hill [Official Lyric Video].mp3
Usai Di Sini,Raisa,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/Kt-lbu2To58 - Raisa - Usai Di Sini (Official Lyric Video).mp3
Watermelon Sugar,Harry Styles,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/7-x3uD5z1bQ - Harry Styles - Watermelon Sugar (Official Audio).mp3
Hilang Tanpa Bilang,Meiska,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/oyyqQHaJflY - Meiska - Hilang Tanpa Bilang (Official Audio).mp3
One Kiss,Calvin Harris,2018,Electronic,Electronic,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/Bm8rz-llMhE - Calvin Harris, Dua Lipa - One Kiss (Lyric Video).mp3"
Adventure of a Lifetime,Coldplay,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/QtXby3twMmI - Coldplay - Adventure Of A Lifetime (Official Video).mp3
Hati-Hati di Jalan,Tulus,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/_N6vSc_mT6I - TULUS - Hati-Hati di Jalan (Official Lyric Video).mp3
I Ain't Worried,OneRepublic,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/mNEUkkoUoIA - OneRepublic - I Ain’t Worried (From “Top Gun： Maverick”) [Official Music Video].mp3
I Like It,Cardi B,2019,Hip Hop,Hip Hop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/U4fErC9skHE - Cardi B, Bad Bunny & J Balvin - I Like It [Official Audio].mp3"
Sedang Sayang Sayangnya,Mawar de Jongh,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/PlwqnE5eYX0 - Mawar de Jongh - Sedang Sayang Sayangnya ｜ Official Music Video.mp3
Fake Love,Drake,2017,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/jz_01KVkOBI - Fake Love.mp3
Trauma,Aan Story,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/zhCcKh-Q8jw - Aan Story feat. Elsya - TRAUMA (Official Lyric Video).mp3
Merasa Indah,Tiara Andini,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/iTJvrId5Bmo - Tiara Andini - Merasa Indah (Official Lyric Video).mp3
Niscaya,Bilal Indrajaya,2024,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/zzFsx1iqcgg - Bilal Indrajaya - Niscaya (Official Lyric Video).mp3
Rain On Me,Lady Gaga,2020,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/ugQhauUEcJM - Lady Gaga, Ariana Grande - Rain On Me (Audio).mp3"
Mask Off,Future,2017,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/aWb8z-KhZdo - Mask Off.mp3
Enchanted,Taylor Swift,2022,Country,Country,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/Na2WnQ13zcM - Enchanted.mp3
Pesan Terakhir,Lyodra,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/pu7kkMAmiMM - Lyodra - Pesan Terakhir (Official Audio).mp3
One Last Time,Ariana Grande,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Wg92RrNhB8s - Ariana Grande - One Last Time (Official Lyric Video).mp3
Janji Setia,Tiara Andini,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/nKSylKpqln4 - Tiara Andini - Janji Setia (Official Lyric Video).mp3
If I Can't Have You,Shawn Mendes,2019,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/QIllrXYlEDA - Shawn Mendes - If I Can't Have You (Official Audio).mp3
Sepenuh Hati,Rony Parulian,2024,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/psq1qBms92o - Rony Parulian, Andi Rianto – Sepenuh Hati (Official Lyric Video).mp3"
Blank Space,Taylor Swift,2015,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/2mIBS3fHp6A - Taylor Swift - Blank Space (Audio).mp3
