title,artist,year,Predicted_Genre,True_Genre,Confidence,Is_Correct,file_path,aug
Oceans & Engines,NIKI,2023,R&B,R&B,0.7380417,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/bQ0pazUc3ZA - NIKI - Oceans & Engines (Official Lyric Video).mp3,none
Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,2022,Pop,Pop,0.74535525,True,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/tQ0yjYUFKAE - Justin Bieber - Peaches ft. Daniel Caesar, Giveon.mp3",pitch
iSpy (feat. Lil Yachty),KYLE,2017,Pop,Hip Hop,0.787957,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/5XK4v2fgMPU - KYLE - iSpy feat. Lil Yachty [Official Music Video].mp3,none
abcdefu,GAYLE,2022,Pop,Pop,0.6980474,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/NaFd8ucHLuo - GAYLE - abcdefu (Official Music Video).mp3,noise
Wish You Were Here,Neck Deep,2022,Hip Hop,Pop,0.4217723,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/VyPwEZTIpVc - Wish You Were Here.mp3,noise
Blank Space,Taylor Swift,2023,Pop,Pop,0.965784,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/2mIBS3fHp6A - Taylor Swift - Blank Space (Audio).mp3,pitch
Con Calma (feat. Snow),Daddy Yankee,2019,Hip Hop,Hip Hop,0.9308625,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/r_wb7GAiCg4 - Daddy Yankee - Con Calma (Audio) ft. Snow.mp3,none
Percayalah,Afgan,2016,Pop,Pop,0.9910375,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/-_-dkafbhB8 - Afgan & Raisa - Percayalah ｜ Official Video Lirik.mp3,pitch
Hati-Hati di Jalan,Tulus,2023,Pop,Pop,0.98173887,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/_N6vSc_mT6I - TULUS - Hati-Hati di Jalan (Official Lyric Video).mp3,pitch
Enchanted,Taylor Swift,2023,Country,Country,0.9635597,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/Na2WnQ13zcM - Enchanted.mp3,pitch
