title,artist,genre,year,norm_title,norm_artist,genre_clean,file_path
Uptown Funk (feat. Bruno Mars),Mark Ronson,soul,2015,uptown funk,mark ronson,Soul,
Trap Queen,Fetty Wap,Hip-Hop,2015,trap queen,fetty wap,Hip Hop,
Sugar,Maroon 5,pop,2015,sugar,maroon 5,Pop,
Shut Up and Dance,WALK THE MOON,pop,2015,shut up and dance,walk the moon,Pop,
Watch Me (Whip / Nae Nae),Silentó,pop,2015,watch me,silento,Pop,
Earned It (Fifty Shades Of Grey),The Weeknd,rnb,2015,earned it,the weeknd,R&B,
Can't Feel My Face,The Weeknd,pop,2015,can t feel my face,the weeknd,Pop,
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,Hip-Hop,2015,cheerleader felix jaehn,omi,Hip Hop,
Love Me Like You Do - From Fifty Shades Of Grey,Ellie Goulding,pop,2015,love me like you do from fifty shades of grey,ellie goulding,Pop,
Take Me to Church,Hozier,pop,2015,take me to church,hozier,Pop,
Lean On - J Balvin & Farruko Remix,Major Lazer,edm,2015,lean on j balvin farruko,major lazer,EDM,
Want to Want Me,Jason Derulo,pop,2015,want to want me,jason derulo,Pop,
Good For You,Selena Gomez,pop,2015,good for you,selena gomez,Pop,
Shake It Off,Taylor Swift,pop,2015,shake it off,taylor swift,Pop,
679 (feat. Remy Boyz),Fetty Wap,Hip-Hop,2015,679,fetty wap,Hip Hop,
Lips Are Movin,Meghan Trainor,pop,2015,lips are movin,meghan trainor,Pop,
I'm Not The Only One,Sam Smith,pop,2015,i m not the only one,sam smith,Pop,
Bad Blood,Taylor Swift,pop,2015,bad blood,taylor swift,Pop,
All About That Bass,Meghan Trainor,pop,2015,all about that bass,meghan trainor,Pop,
Honey. I'm Good.,Andy Grammer,pop,2015,honey i m good,andy grammer,Pop,
Hey Mama (feat. Nicki Minaj. Bebe Rexha & Afrojack),David Guetta,edm,2015,hey mama,david guetta,EDM,
Jealous - Remix,Nick Jonas,pop,2015,jealous,nick jonas,Pop,
GDFR (feat. Sage the Gemini & Lookas) - DJ Kay Rich x Up 2 No Good Remix,Flo Rida,Hip-Hop,2015,gdfr dj kay rich x up 2 no good,flo rida,Hip Hop,
Time of Our Lives - Tribute to Pitbull and Ne-Yo,Pop Beatz,pop,2015,time of our lives tribute to pitbull and ne yo,pop beatz,Pop,
Centuries,Fall Out Boy,rock,2015,centuries,fall out boy,Rock,
FourFiveSeconds - Remix Party Hits Radio Pop - Inspired by Rihanna Kanye West & Paul McCartney,Eli White,pop,2015,fourfiveseconds party hits radio pop inspired by rihanna kanye west paul mccartney,eli white,Pop,
Somebody,Natalie La Rose,rnb,2015,somebody,natalie la rose,R&B,
I Don't Fuck With You,Big Sean,pop,2015,i don t fuck,big sean,Pop,
Talking Body,Tove Lo,pop,2015,talking body,tove lo,Pop,
Love Me Harder (In the Style of Ariana Grande & The Weeknd) [Karaoke Instrumental Version],Karaoke All Hit Wonders,pop,2015,love me harder,karaoke all hit wonders,Pop,
Bitch Better Have My Money,Rihanna,hip hop,2015,bitch better have my money,rihanna,Hip Hop,
Only (In the Style of Nicki Minaj Drake Lil Wayne & Chris Brown) [Instrumental Version],BeatRunnaz,Hip-Hop,2015,only,beatrunnaz,Hip Hop,
I Don't Mind (feat. Juicy J),USHER,rnb,2015,i don t mind,usher,R&B,
Drag Me Down,One Direction,pop,2015,drag me down,one direction,Pop,
The Heart Wants What It Wants,Selena Gomez,pop,2015,the heart wants what it wants,selena gomez,Pop,
Cool for the Summer,Demi Lovato,pop,2015,cool for the summer,demi lovato,Pop,
7/11,Beyoncé,Hip-Hop,2015,7 11,beyonce,Hip Hop,
Stay With Me,Sam Smith,pop,2015,stay,sam smith,Pop,
Truffle Butter (Karaoke Instrumental Version) - Originally Performed By Nicki Minaj feat. Drake & Lil Wayne,Ratchet Instrumentals,Hip-Hop,2015,truffle butter originally performed by nicki minaj,ratchet instrumentals,Hip Hop,
Nasty Freestyle,T-Wayne,Hip-Hop,2015,nasty freestyle,t wayne,Hip Hop,
Chains,Nick Jonas,pop,2015,chains,nick jonas,Pop,
The Hanging Tree - From The Hunger Games: Mockingjay Soundtraclk,James Newton Howard,folk,2015,the hanging tree from the hunger games mockingjay soundtraclk,james newton howard,Folk,
You Know You Like It - Tribute to DJ Snake and AlunaGeorge,Billboard Masters,edm,2015,you know you like it tribute to dj snake and alunageorge,billboard masters,EDM,
Downtown (feat. Melle Mel Grandmaster Caz Kool Moe Dee & Eric Nally),Macklemore & Ryan Lewis,Hip-Hop,2015,downtown,macklemore ryan lewis,Hip Hop,
No Type,Rae Sremmurd,Hip-Hop,2015,no type,rae sremmurd,Hip Hop,
Hit the Quan - Original Version,iLoveMemphis,Hip-Hop,2015,hit the quan original,ilovememphis,Hip Hop,
Tuesday (feat. Drake),ILOVEMAKONNEN,Hip-Hop,2015,tuesday,ilovemakonnen,Hip Hop,
Take Your Time,Sam Hunt,country,2015,take your time,sam hunt,Country,
Habits (Stay High),Tove Lo,pop,2015,habits,tove lo,Pop,
Bang Bang - Imanos & Gramercy Remix,Jessie J,pop,2015,bang bang imanos gramercy,jessie j,Pop,
Girl Crush,Little Big Town,country,2015,girl crush,little big town,Country,
Flex (Ooh. Ooh. Ooh),Rich Homie Quan,Hip-Hop,2015,flex,rich homie quan,Hip Hop,
Dear Future Husband,Meghan Trainor,pop,2015,dear future husband,meghan trainor,Pop,
